case_id,scenario,compromised,expected_disposition,final_disposition,compromise_probability,evidence_quality,asset_criticality,break_glass,authorization_issued,post_action_verified,latency_ms
test-00025-8cd8818,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99348218,0.986286,0.432,False,True,True,0.669
test-00026-daebce4,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01746629,0.986286,0.439,False,False,True,0.422
test-00027-69bfb19,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.03834527,0.986286,0.642,False,False,True,0.435
test-00028-f642f5a,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.98851986,0.986286,0.736,False,True,True,0.654
test-00029-05a7dfe,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.46693738,0.61425,0.526,False,False,True,0.471
test-00030-301832f,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01327849,0.986286,0.442,False,False,True,0.421
test-00031-8722271,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.564446,0.880286,0.228,False,False,True,0.445
test-00032-4dce2e9,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.0627373,0.986286,0.92,True,False,True,0.604
test-00033-b6ddb2e,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99756635,0.986286,0.592,False,True,True,0.674
test-00034-a8d3585,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.45699377,0.648,0.442,False,False,True,0.439
test-00035-e96b9fa,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.04166859,0.986286,0.92,True,False,True,0.466
test-00036-5edeaed,credential_dump_lateral,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99032049,0.986286,0.752,False,False,True,0.458
test-00037-c16a4cd,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99176167,0.986286,0.524,False,True,True,0.653
test-00038-c783c78,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.0526571,0.986286,0.831,False,False,True,0.547
test-00039-2062d14,benign_travel,False,NO_ACTION,NO_ACTION,0.01587961,0.986286,0.195,False,False,True,0.936
test-00040-6436540,prompt_injection_poisoning,True,INVESTIGATE,INVESTIGATE,0.97088778,0.61425,0.585,False,False,True,0.449
test-00041-337211a,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.05325615,0.986286,0.528,False,False,True,0.438
test-00042-6aea058,benign_travel,False,NO_ACTION,NO_ACTION,0.01369447,0.986286,0.467,False,False,True,0.413
test-00043-2ab60b4,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.14233738,0.648,0.333,False,False,True,0.478
test-00044-6c4557b,benign_travel,False,NO_ACTION,NO_ACTION,0.06589113,0.986286,0.677,False,False,True,0.461
test-00045-68cb45d,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.04166859,0.986286,0.92,True,False,True,0.419
test-00046-0de89e0,benign_travel,False,NO_ACTION,NO_ACTION,0.01853195,0.986286,0.187,False,False,True,0.409
test-00047-3a6dfd9,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01471453,0.986286,0.695,False,False,True,0.406
test-00048-cbea965,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99201092,0.986286,0.243,False,True,True,0.692
test-00049-2947c8f,service_account_batch,False,NO_ACTION,NO_ACTION,0.02771481,0.986286,0.199,False,False,True,0.425
test-00050-a9fad3e,approved_maintenance,False,NO_ACTION,NO_ACTION,0.01830544,0.986286,0.939,False,False,True,0.483
test-00051-736bcef,password_spray_success,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99246434,0.986286,0.88,False,False,True,0.467
test-00052-8bfd1df,approved_maintenance,False,NO_ACTION,NO_ACTION,0.02502091,0.986286,0.694,False,False,True,0.42
test-00053-cdc244f,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.97918185,0.986286,0.746,False,True,True,0.699
test-00054-99750f1,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.9920962,0.986286,0.318,False,True,True,0.696
test-00055-af0c25a,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.98546508,0.986286,0.735,False,True,True,0.686
test-00056-ed3dc64,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.20709609,0.880286,0.732,False,False,True,0.43
test-00057-8862c1d,prompt_injection_poisoning,True,INVESTIGATE,INVESTIGATE,0.78957275,0.648,0.702,False,False,True,0.423
test-00058-c5b685d,service_account_batch,False,NO_ACTION,NO_ACTION,0.02983007,0.986286,0.358,False,False,True,0.426
test-00059-393db44,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.98958571,0.986286,0.695,False,True,True,0.738
test-00060-069bfe8,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99705549,0.986286,0.555,False,True,True,0.801
test-00061-22ea74f,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99603768,0.986286,0.517,False,True,True,0.836
test-00062-f7adef7,benign_travel,False,NO_ACTION,NO_ACTION,0.03747631,0.986286,0.061,False,False,True,0.465
test-00063-99eb914,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.02424574,0.986286,0.92,True,False,True,0.427
test-00064-09b42b2,service_account_batch,False,NO_ACTION,NO_ACTION,0.03109591,0.986286,0.448,False,False,True,0.464
test-00065-dc2e737,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99660788,0.986286,0.239,False,True,True,0.689
test-00066-daccee6,prompt_injection_poisoning,False,ESCALATE_HUMAN,INVESTIGATE,0.58179818,0.648,0.92,True,False,True,0.438
test-00067-4647d79,approved_maintenance,False,NO_ACTION,NO_ACTION,0.06228363,0.986286,0.61,False,False,True,0.441
test-00068-93354b0,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99384202,0.986286,0.552,False,True,True,0.687
test-00069-d9c0d14,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.33323288,0.880286,0.567,False,False,True,0.422
test-00070-ad1262b,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.96773242,0.986286,0.131,False,True,True,0.727
test-00071-c1d4480,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.02424574,0.986286,0.92,True,False,True,0.435
test-00072-4785842,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.15730639,0.880286,0.908,False,False,True,0.435
test-00073-c92ca71,service_account_batch,False,NO_ACTION,NO_ACTION,0.02565224,0.986286,0.654,False,False,True,0.446
test-00074-8d42432,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01606568,0.986286,0.848,False,False,True,0.411
test-00075-079f1fc,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.04429079,0.986286,0.743,False,False,True,0.41
test-00076-6146fbb,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01768217,0.986286,0.759,False,False,True,0.695
test-00077-0b538fc,prompt_injection_poisoning,True,INVESTIGATE,INVESTIGATE,0.93164119,0.648,0.493,False,False,True,0.487
test-00078-bcfc3c6,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.98809587,0.986286,0.488,False,True,True,0.735
test-00079-1a5e2ff,approved_maintenance,False,NO_ACTION,NO_ACTION,0.0215576,0.986286,0.08,False,False,True,0.457
test-00080-715f3b4,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.98919148,0.986286,0.864,False,False,True,0.474
test-00081-8c62233,malicious_oauth_consent,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99855006,0.986286,0.489,False,True,False,0.762
test-00082-2412d72,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99139145,0.986286,0.759,False,False,True,0.462
test-00083-d8959e6,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.39549287,0.61425,0.207,False,False,True,0.444
test-00084-1fdcced,benign_travel,False,NO_ACTION,NO_ACTION,0.04565038,0.986286,0.396,False,False,True,0.43
test-00085-3e976fe,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.05185687,0.986286,0.718,False,False,True,0.417
test-00086-bf22989,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99079141,0.986286,0.91,False,False,True,0.448
test-00087-7b65ed6,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99133163,0.986286,0.71,False,True,True,0.751
test-00088-b8962e6,benign_travel,False,NO_ACTION,NO_ACTION,0.03301013,0.986286,0.897,False,False,True,0.45
test-00089-9da577e,service_account_batch,False,NO_ACTION,NO_ACTION,0.02734725,0.986286,0.792,False,False,True,0.448
test-00090-6db95f1,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99675032,0.986286,0.613,False,True,True,0.684
test-00091-658b6a6,telemetry_gap,False,INVESTIGATE,INVESTIGATE,0.38324491,0.817029,0.417,False,False,True,0.411
test-00092-daa9867,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99235891,0.986286,0.589,False,True,True,0.751
test-00093-fa7eaf3,benign_travel,False,NO_ACTION,NO_ACTION,0.0333924,0.986286,0.673,False,False,True,0.491
test-00094-0fdb6c3,password_spray_success,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99205,0.986286,0.809,False,False,True,0.436
test-00095-61e8213,service_account_batch,False,NO_ACTION,NO_ACTION,0.03492283,0.986286,0.7,False,False,True,0.414
test-00096-460e75c,telemetry_gap,True,INVESTIGATE,INVESTIGATE,0.88156247,0.817029,0.647,False,False,True,0.496
test-00097-be52942,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99320094,0.986286,0.266,False,True,True,0.747
test-00098-7023bcf,service_account_batch,False,NO_ACTION,NO_ACTION,0.0365473,0.986286,0.799,False,False,True,0.444
test-00099-63ec2be,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.03113796,0.986286,0.811,False,False,True,0.417
test-00100-7ef21aa,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99910671,0.986286,0.706,False,True,True,0.666
test-00101-287f9c4,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.9950112,0.986286,0.703,False,True,True,0.66
test-00102-b260f38,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01564574,0.986286,0.204,False,False,True,0.418
test-00103-4398309,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99648323,0.986286,0.559,False,True,True,0.813
test-00104-6365e63,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99431555,0.986286,0.721,False,True,False,0.664
test-00105-0dd342f,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99273714,0.986286,0.825,False,False,True,0.416
test-00106-fef66c4,telemetry_gap,True,INVESTIGATE,INVESTIGATE,0.5166686,0.817029,0.685,False,False,True,0.487
test-00107-a2a9db3,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99188429,0.986286,0.262,False,True,True,0.69
test-00108-04773bd,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.04730394,0.986286,0.515,False,False,True,0.463
test-00109-ed777d2,service_account_batch,False,NO_ACTION,NO_ACTION,0.02941933,0.986286,0.328,False,False,True,0.432
test-00110-a68052e,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99237235,0.986286,0.687,False,True,True,0.651
test-00111-d3b1b19,credential_dump_lateral,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99286182,0.986286,0.775,False,False,True,0.554
test-00112-96d572b,service_account_batch,False,NO_ACTION,NO_ACTION,0.03045662,0.986286,0.403,False,False,True,0.473
test-00113-d563b30,malicious_oauth_consent,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99202145,0.986286,0.732,False,True,True,0.654
test-00114-55df47e,telemetry_gap,True,INVESTIGATE,INVESTIGATE,0.81944373,0.817029,0.842,False,False,True,0.523
test-00115-5710b78,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01293962,0.986286,0.387,False,False,True,0.455
test-00116-3cc508f,approved_maintenance,False,NO_ACTION,NO_ACTION,0.0248011,0.986286,0.675,False,False,True,0.414
test-00117-990907e,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99186223,0.986286,0.55,False,True,True,0.65
test-00118-d1f88a7,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.46783591,0.61425,0.337,False,False,True,0.567
test-00119-bfe3c9d,service_account_batch,False,NO_ACTION,NO_ACTION,0.03366117,0.986286,0.62,False,False,True,0.419
test-00120-247c3b0,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.186496,0.986286,0.92,True,False,True,0.406
test-00121-fe902e6,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99453727,0.986286,0.805,False,False,True,0.41
test-00122-c72c523,benign_travel,False,NO_ACTION,NO_ACTION,0.04040845,0.986286,0.706,False,False,True,0.432
test-00123-54a4329,malicious_oauth_consent,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.98937226,0.986286,0.119,False,True,True,0.682
test-00124-cbc0a33,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01391669,0.986286,0.87,False,False,True,0.493
test-00125-351fb38,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01620423,0.986286,0.376,False,False,True,0.417
test-00126-1cf9e44,benign_travel,False,NO_ACTION,NO_ACTION,0.02172635,0.986286,0.234,False,False,True,0.414
test-00127-01b83fc,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01946719,0.986286,0.671,False,False,True,0.456
test-00128-5c2a811,service_account_batch,False,NO_ACTION,INVESTIGATE,0.25942978,0.986286,0.801,False,False,True,0.412
test-00129-6989a63,credential_dump_lateral,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99201585,0.986286,0.842,False,False,True,0.407
test-00130-afb40c1,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01550761,0.986286,0.576,False,False,True,0.408
test-00131-5a04cfd,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.42024683,0.648,0.716,False,False,True,0.472
test-00132-cc4a1f9,approved_maintenance,False,NO_ACTION,NO_ACTION,0.02533355,0.986286,0.427,False,False,True,0.415
test-00133-b835ac5,benign_travel,False,NO_ACTION,NO_ACTION,0.11070309,0.986286,0.662,False,False,True,0.428
test-00134-140bb14,password_spray_success,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99747428,0.986286,0.878,False,False,True,0.443
test-00135-ed1b5a6,service_account_batch,False,NO_ACTION,NO_ACTION,0.02985765,0.986286,0.36,False,False,True,0.406
test-00136-ddbf9e3,approved_maintenance,False,NO_ACTION,NO_ACTION,0.0240074,0.986286,0.605,False,False,True,0.399
test-00137-4fd28d6,service_account_batch,False,NO_ACTION,NO_ACTION,0.03269869,0.986286,0.557,False,False,True,0.399
test-00138-9432d49,sensor_conflict,True,INVESTIGATE,INVESTIGATE,0.87650021,0.880286,0.636,False,False,True,0.395
test-00139-82754a0,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99763939,0.986286,0.443,False,True,True,0.642
test-00140-011f179,malicious_oauth_consent,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99049263,0.986286,0.851,False,False,True,0.415
test-00141-bf15987,approved_maintenance,False,NO_ACTION,NO_ACTION,0.06023656,0.986286,0.829,False,False,True,0.442
test-00142-ff60808,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.70267004,0.880286,0.667,False,False,True,0.436
test-00143-a438a33,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99653475,0.986286,0.212,False,True,True,0.637
test-00144-a02f87c,password_spray_success,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99861369,0.986286,0.947,False,False,True,0.422
test-00145-5203115,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99324757,0.986286,0.651,False,True,True,0.73
test-00146-26e62ea,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99453985,0.986286,0.806,False,False,True,0.43
test-00147-e05fafe,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.38531174,0.648,0.739,False,False,True,0.459
test-00148-af4ae71,malicious_oauth_consent,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99866128,0.986286,0.416,False,True,True,0.75
test-00149-18a6eb1,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01643622,0.986286,0.931,False,False,True,0.425
test-00150-ae94bd3,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.93465995,0.986286,0.717,False,True,True,0.737
test-00151-406fd5c,service_account_batch,False,NO_ACTION,NO_ACTION,0.03229439,0.986286,0.53,False,False,True,0.477
test-00152-e59341a,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99184586,0.986286,0.252,False,True,True,0.658
test-00153-9ea2a45,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.21609774,0.61425,0.473,False,False,True,0.549
test-00154-1dd0ea0,approved_maintenance,False,NO_ACTION,NO_ACTION,0.0218331,0.986286,0.401,False,False,True,0.439
test-00155-7c97d70,approved_maintenance,False,NO_ACTION,NO_ACTION,0.02102422,0.986286,0.32,False,False,True,0.437
test-00156-4d6b960,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.83309546,0.880286,0.146,False,False,True,0.51
test-00157-b3ba19c,malicious_oauth_consent,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99280234,0.986286,0.559,False,True,True,0.666
test-00158-dbdd9c3,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01583206,0.986286,0.523,False,False,True,0.425
test-00159-f636a3f,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01599616,0.986286,0.545,False,False,True,0.469
test-00160-c9543c4,service_account_batch,False,NO_ACTION,NO_ACTION,0.0286563,0.986286,0.893,False,False,True,0.443
test-00161-507f734,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.02424574,0.986286,0.92,True,False,True,0.412
test-00162-b2681ec,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.02424574,0.986286,0.92,True,False,True,0.407
test-00163-2029c17,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.06231463,0.986286,0.878,False,False,True,0.465
test-00164-baa8b11,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.93763432,0.986286,0.234,False,True,True,0.665
test-00165-cf7cf3a,password_spray_success,True,CONTAIN_REVERSIBLE,ESCALATE_HUMAN,0.96059733,0.986286,0.539,False,False,True,0.47
test-00166-e17a296,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99849206,0.986286,0.267,False,True,False,0.653
test-00167-8821afc,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.0142133,0.986286,0.684,False,False,True,0.448
test-00168-3353226,benign_travel,False,NO_ACTION,NO_ACTION,0.03620348,0.986286,0.476,False,False,True,0.411
test-00169-db71d15,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99533701,0.986286,0.258,False,True,True,0.722
test-00170-63a2d26,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.98797498,0.986286,0.718,False,True,True,0.646
test-00171-59280d3,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99213824,0.986286,0.277,False,True,True,0.691
test-00172-35e60f6,approved_maintenance,False,NO_ACTION,NO_ACTION,0.02411641,0.986286,0.321,False,False,True,0.497
test-00173-4763245,prompt_injection_poisoning,False,INVESTIGATE,INVESTIGATE,0.17799036,0.648,0.685,False,False,True,0.428
test-00174-5646ea0,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.03864495,0.986286,0.659,False,False,True,0.45
test-00175-9c4fa20,privileged_token_theft,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99195368,0.986286,0.902,False,False,True,1.385
test-00176-486dc87,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.04166859,0.986286,0.92,True,False,True,0.488
test-00177-072aa44,benign_travel,False,NO_ACTION,NO_ACTION,0.01849307,0.986286,0.77,False,False,True,0.828
test-00178-ea994d8,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.97843569,0.986286,0.423,False,True,True,0.822
test-00179-5ee7402,approved_maintenance,False,NO_ACTION,NO_ACTION,0.05275555,0.986286,0.862,False,False,True,0.635
test-00180-0b87642,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99419862,0.986286,0.678,False,True,True,0.777
test-00181-b7a8649,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99798429,0.986286,0.401,False,True,True,0.761
test-00182-2eda78e,malicious_oauth_consent,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99881448,0.986286,0.084,False,True,False,0.771
test-00183-26cf8d7,password_spray_success,True,CONTAIN_REVERSIBLE,ESCALATE_HUMAN,0.9718339,0.986286,0.691,False,False,True,0.425
test-00184-8a84c95,credential_dump_lateral,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99609247,0.986286,0.564,False,True,True,0.655
test-00185-0f160c3,benign_travel,False,NO_ACTION,NO_ACTION,0.0148427,0.986286,0.77,False,False,True,0.461
test-00186-9f5d07d,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99154596,0.986286,0.375,False,True,True,0.665
test-00187-ce584c9,credential_dump_lateral,True,ESCALATE_HUMAN,ESCALATE_HUMAN,0.99379033,0.986286,0.786,False,False,True,0.524
test-00188-bf04e44,password_spray_success,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99806367,0.986286,0.538,False,True,True,0.744
test-00189-0fd8dd2,break_glass_drill,False,ESCALATE_HUMAN,ESCALATE_HUMAN,0.0627373,0.986286,0.92,True,False,True,0.454
test-00190-5368517,prompt_injection_poisoning,True,INVESTIGATE,INVESTIGATE,0.9259809,0.648,0.935,False,False,True,0.49
test-00191-d5cc361,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99153985,0.986286,0.174,False,True,True,0.679
test-00192-150ea01,corporate_vpn_geolocation,False,NO_ACTION,NO_ACTION,0.01500033,0.986286,0.736,False,False,True,0.542
test-00193-8ed8403,approved_maintenance,False,NO_ACTION,NO_ACTION,0.0240269,0.986286,0.313,False,False,True,0.437
test-00194-fcfebc7,privileged_token_theft,True,CONTAIN_REVERSIBLE,CONTAIN_REVERSIBLE,0.99365264,0.986286,0.488,False,True,True,0.677
test-00195-d141741,service_account_batch,False,NO_ACTION,NO_ACTION,0.05992446,0.986286,0.714,False,False,True,0.417
test-00196-b43a812,sensor_conflict,False,INVESTIGATE,INVESTIGATE,0.19293219,0.880286,0.218,False,False,True,0.485
test-00197-333e669,telemetry_gap,True,INVESTIGATE,INVESTIGATE,0.86035841,0.817029,0.862,False,False,True,0.426
test-00198-7963674,approved_maintenance,False,NO_ACTION,NO_ACTION,0.01625356,0.986286,0.685,False,False,True,0.423
